#{"t_start": 1671732235.1091685, "env_id": null}
1.0,283,449.077635
0.0,8,449.144824
0.0,1001,449.638671
1.0,507,449.968644
1.0,30,450.065449
0.0,852,452.05156
0.0,84,452.373234
1.0,80,452.673073
0.0,10,452.703199
0.0,237,452.935974
0.0,12,453.061307
1.0,150,453.991246
1.0,38,454.318668
1.0,50,454.579011
1.0,9,454.618941
0.0,1001,454.944038
1.0,845,455.421489
1.0,36,456.066149
1.0,342,456.166944
1.0,50,456.199315
0.0,64,456.635311
0.0,230,457.446931
1.0,65,457.550714
0.0,38,457.883144
0.0,15,458.367439
1.0,291,458.627661
1.0,19,459.262438
0.0,1001,459.487503
1.0,48,461.067341
0.0,451,461.107309
1.0,70,461.566032
0.0,4,461.698976
1.0,32,462.12334
0.0,46,463.202833
1.0,700,463.299493
1.0,418,465.730954
0.0,408,466.064423
1.0,93,466.359156
1.0,281,466.78853
1.0,451,468.783027
1.0,391,469.050191
1.0,357,469.208313
1.0,89,469.729119
1.0,117,469.92095
0.0,35,470.355233
0.0,25,470.547114
1.0,140,470.982745
0.0,104,472.20758
1.0,10,472.525212
1.0,30,473.502476
0.0,910,473.867163
1.0,121,473.897839
0.0,4,473.998625
1.0,18,474.584285
1.0,433,475.335039
0.0,1001,477.146672
1.0,127,478.825151
1.0,55,479.021833
0.0,513,479.053279
1.0,325,479.773085
1.0,674,480.587923
0.0,1001,480.822422
1.0,39,481.055887
1.0,782,481.838772
1.0,40,481.900439
0.0,16,482.429648
1.0,593,482.763457
0.0,10,482.763543
1.0,209,485.652313
0.0,958,505.344714
1.0,527,505.502131
1.0,7,505.728183
0.0,9,506.022746
0.0,302,506.511264
1.0,436,507.288562
1.0,532,508.904824
1.0,53,510.497714
0.0,677,510.591665
1.0,346,511.416684
1.0,422,511.948829
1.0,219,512.86789
0.0,508,514.891603
0.0,1001,515.797979
1.0,157,516.375193
1.0,199,516.787694
1.0,43,517.162899
0.0,48,517.883333
0.0,560,518.171456
0.0,212,518.64392
1.0,140,519.302762
0.0,1001,520.248667
1.0,101,520.381524
0.0,10,520.700591
1.0,73,521.007957
1.0,104,521.532358
0.0,41,521.593234
1.0,809,522.576529
1.0,185,522.7391
0.0,1001,523.39641
1.0,57,523.458934
0.0,35,523.72157
1.0,76,525.223572
1.0,30,526.190298
1.0,509,526.899929
1.0,206,527.429329
1.0,222,528.332555
1.0,661,528.432262
1.0,38,529.549226
1.0,35,529.549309
1.0,10,529.884094
1.0,92,530.515306
0.0,977,530.899805
1.0,231,531.319205
0.0,369,531.411087
0.0,167,531.704483
0.0,12,531.805996
0.0,51,532.558831
0.0,614,532.758988
1.0,457,532.821098
1.0,94,532.956892
1.0,48,533.37889
1.0,315,533.807479
0.0,17,533.936907
0.0,101,534.621157
0.0,64,534.906738
0.0,1001,535.485757
1.0,57,535.653352
1.0,23,535.65342
1.0,375,535.683495
0.0,6,535.683569
0.0,5,535.814971
0.0,100,535.815087
1.0,16,536.175091
1.0,12,536.563844
1.0,134,537.119009
0.0,1001,537.547334
1.0,185,537.74737
1.0,122,537.91082
1.0,341,538.105783
0.0,13,538.331151
1.0,86,538.491352
0.0,1001,538.723318
0.0,4,538.851546
0.0,36,538.920573
1.0,571,540.226574
1.0,174,540.295905
1.0,84,540.842136
1.0,163,541.001525
1.0,5,541.170489
1.0,284,542.219409
1.0,214,542.819979
1.0,98,544.382622
1.0,185,546.351013
0.0,6,546.55469
1.0,125,546.915765
0.0,12,546.948128
1.0,12,547.303245
1.0,288,547.771567
0.0,301,548.732229
1.0,314,548.793124
0.0,589,548.831918
0.0,53,549.058622
0.0,13,549.151391
0.0,75,549.420967
1.0,421,549.612821
0.0,58,549.680698
0.0,99,552.288675
1.0,244,552.388575
1.0,483,553.365128
1.0,117,553.436652
1.0,531,553.958003
1.0,189,554.963239
1.0,54,555.131632
1.0,479,555.915602
1.0,419,555.948726
1.0,257,558.067578
1.0,216,560.579485
0.0,32,561.642919
1.0,381,561.967693
1.0,207,561.999217
1.0,964,562.130993
1.0,443,563.409027
0.0,54,563.774666
1.0,200,564.721377
1.0,380,564.917052
1.0,6,564.917126
1.0,482,565.017221
1.0,804,565.349125
1.0,480,568.096805
1.0,201,568.55358
0.0,123,568.940608
1.0,123,568.940677
0.0,416,569.658993
0.0,23,569.694728
0.0,1001,569.985289
1.0,66,570.243064
1.0,62,589.319209
1.0,278,590.454515
1.0,550,590.611533
1.0,145,590.79821
0.0,1001,591.140494
1.0,318,591.224368
1.0,575,592.087971
1.0,60,592.505186
1.0,658,592.824633
1.0,78,592.856334
1.0,192,593.737561
0.0,11,594.080186
1.0,371,594.331481
1.0,51,594.457609
1.0,482,594.588227
0.0,14,594.905093
1.0,123,595.004306
0.0,34,595.163256
1.0,147,595.664456
1.0,28,596.039089
1.0,107,596.191363
1.0,156,597.003069
1.0,70,598.382742
1.0,491,598.413423
1.0,150,599.043782
1.0,283,599.10787
1.0,613,599.176489
0.0,33,599.440275
0.0,44,599.832499
1.0,40,600.445245
1.0,115,600.633077
1.0,52,600.692516
1.0,29,600.723281
0.0,15,601.092596
1.0,14,601.153887
1.0,211,601.215119
1.0,18,601.768
1.0,292,603.641731
1.0,120,603.950125
1.0,296,604.361843
1.0,127,604.464227
1.0,403,604.541321
1.0,618,605.125333
1.0,34,605.287094
1.0,157,605.351666
1.0,358,605.507257
1.0,10,605.668654
0.0,12,605.668727
1.0,228,605.853899
1.0,7,605.888826
1.0,348,606.230438
1.0,33,606.700193
1.0,31,606.826912
0.0,11,607.168402
1.0,282,607.230935
1.0,37,607.387
1.0,132,607.483946
0.0,12,607.770744
1.0,138,608.052991
1.0,269,608.147044
1.0,119,608.179306
1.0,85,608.179435
0.0,4,608.277418
0.0,21,608.435352
1.0,4,608.556791
1.0,50,609.83459
1.0,735,609.898963
1.0,125,610.739823
1.0,184,611.03892
1.0,48,611.346386
1.0,798,611.560003
1.0,233,613.281866
1.0,801,613.614941
0.0,207,613.779261
1.0,14,614.088161
0.0,115,614.37945
1.0,26,615.233897
1.0,63,615.859972
1.0,153,616.540518
1.0,288,616.768588
1.0,183,616.900152
1.0,40,618.1992
1.0,157,618.428281
1.0,340,619.023276
1.0,56,620.017262
1.0,81,621.069935
1.0,151,621.691261
1.0,85,623.862816
1.0,408,624.62299
1.0,120,625.6377
1.0,375,626.358965
1.0,687,626.554954
1.0,96,627.747803
1.0,377,628.859663
1.0,78,629.089337
1.0,428,629.219325
0.0,639,630.668374
1.0,68,631.309124
1.0,31,632.331466
1.0,262,632.434896
1.0,210,632.503493
1.0,64,632.764735
1.0,14,632.794972
1.0,408,633.384822
0.0,1001,633.38489
0.0,40,633.803252
1.0,6,634.004241
1.0,56,635.213808
1.0,224,636.149477
1.0,122,637.319216
1.0,177,638.510951
1.0,75,638.574905
0.0,8,638.767144
0.0,63,639.348433
0.0,1001,639.713178
1.0,221,639.86324
0.0,1001,640.674556
0.0,1001,640.768726
0.0,1001,641.063206
1.0,7,641.29535
1.0,50,642.341668
1.0,156,643.616695
1.0,449,643.77892
1.0,197,645.152315
1.0,570,646.275184
1.0,358,646.80409
1.0,230,647.390952
1.0,655,647.655912
0.0,1001,648.473297
0.0,190,648.534707
1.0,35,648.534802
1.0,464,649.066605
1.0,262,649.896969
1.0,168,650.668949
1.0,354,650.902925
1.0,17,651.231164
0.0,1001,651.681561
1.0,39,652.179138
1.0,185,652.351347
0.0,218,653.948135
1.0,91,671.654188
1.0,90,671.996702
1.0,77,672.053538
0.0,428,672.128794
1.0,20,672.185036
1.0,223,672.267067
1.0,83,672.343307
1.0,200,672.373885
1.0,38,672.449077
1.0,163,672.480865
0.0,13,672.692971
1.0,33,673.190973
1.0,51,673.449476
1.0,46,673.832259
0.0,52,673.929105
1.0,270,674.411964
1.0,89,674.772186
1.0,15,675.155733
1.0,97,675.266958
1.0,90,675.298827
1.0,59,675.459488
1.0,117,675.459537
0.0,8,675.665715
1.0,16,675.690817
1.0,22,676.242463
1.0,26,676.374663
1.0,109,676.456258
1.0,22,677.013271
1.0,517,677.23483
1.0,23,678.004501
1.0,177,678.364337
1.0,57,678.883187
1.0,262,679.744483
1.0,173,680.340246
0.0,25,680.486066
1.0,198,681.290497
0.0,1001,681.457019
1.0,137,682.346332
1.0,141,683.362069
0.0,92,683.496408
0.0,13,683.925773
1.0,87,684.157501
1.0,321,684.224918
1.0,297,685.687106
1.0,90,686.271026
1.0,79,686.766454
1.0,369,687.067172
1.0,7,687.295141
1.0,25,688.104906
1.0,180,688.199617
0.0,1001,688.814701
1.0,389,688.950526
1.0,86,689.079274
1.0,740,689.113492
1.0,8,689.347786
1.0,168,689.37863
0.0,11,689.736565
1.0,13,689.768505
0.0,51,689.867037
1.0,32,690.159901
1.0,16,690.258438
1.0,14,690.322589
1.0,310,690.422686
1.0,279,690.565932
1.0,60,690.791664
1.0,409,691.579274
1.0,157,691.910655
1.0,50,692.072639
1.0,986,692.263783
1.0,67,692.366044
0.0,10,692.685205
1.0,839,692.886956
1.0,86,693.155465
0.0,135,693.386804
1.0,35,693.42281
0.0,87,693.651726
1.0,25,693.712812
1.0,122,693.774863
1.0,278,694.803083
1.0,99,695.304785
1.0,56,695.528747
1.0,124,695.623121
1.0,175,696.27343
1.0,34,696.405336
1.0,5,696.570212
0.0,33,696.599521
1.0,97,696.929482
0.0,12,696.959854
1.0,137,697.157205
1.0,414,697.650148
1.0,134,698.011036
1.0,315,698.39146
1.0,164,698.493101
1.0,104,699.026873
1.0,177,699.203088
1.0,27,699.301224
1.0,10,699.5351
1.0,126,700.425581
1.0,64,700.613397
1.0,46,701.04297
1.0,104,701.443471
1.0,162,701.934789
0.0,34,702.559908
1.0,77,703.152845
1.0,61,703.994915
1.0,197,704.208472
1.0,52,704.344734
1.0,42,704.650407
1.0,35,705.643022
0.0,1001,706.159814
1.0,276,706.259081
0.0,20,706.289579
1.0,272,706.3196
0.0,7,706.513283
1.0,361,706.826065
1.0,9,707.126636
1.0,309,707.287802
1.0,36,707.32423
1.0,2,707.387973
1.0,44,709.148651
1.0,132,709.366883
1.0,156,709.559167
1.0,9,709.839375
1.0,340,710.664073
0.0,188,710.757735
1.0,15,711.228968
1.0,137,711.229038
1.0,69,711.32347
1.0,316,711.832996
1.0,44,712.629639
1.0,366,712.819497
0.0,18,713.384832
1.0,26,714.201412
1.0,33,715.241065
1.0,121,715.652471
1.0,28,716.120113
0.0,6,716.309688
1.0,286,716.524305
0.0,143,717.143402
1.0,309,717.438898
1.0,44,717.737375
1.0,42,717.899742
1.0,7,718.127425
1.0,24,718.230032
0.0,26,718.588438
1.0,297,718.813004
1.0,64,719.23485
0.0,53,719.955383
0.0,25,720.055291
1.0,17,720.603039
1.0,348,722.402224
1.0,141,722.721464
0.0,995,723.087482
0.0,11,723.455992
1.0,160,723.82484
1.0,22,724.557488
0.0,1001,724.971049
1.0,155,725.129599
1.0,29,726.041727
1.0,47,726.290314
1.0,223,726.323212
0.0,1001,726.70823
1.0,124,726.771756
1.0,14,726.871404
0.0,120,726.966465
0.0,16,727.401531
1.0,37,727.401673
0.0,222,728.158316
1.0,11,728.480885
1.0,49,728.916334
0.0,36,730.138598
0.0,484,731.745457
1.0,626,731.910381
1.0,213,732.30749
1.0,120,732.468619
0.0,1001,732.629707
1.0,207,733.124669
1.0,36,733.606871
0.0,329,734.422905
0.0,4,734.52916
1.0,244,734.612995
1.0,68,734.695982
1.0,874,735.012908
1.0,66,735.064677
1.0,20,735.571985
0.0,112,735.633307
1.0,129,735.633386
1.0,282,735.861397
1.0,41,736.331624
1.0,37,736.800274
1.0,7,737.034402
1.0,329,737.094985
1.0,40,737.126752
1.0,14,737.603846
1.0,109,755.853794
1.0,74,755.931069
1.0,19,756.431827
0.0,1001,756.751454
1.0,203,757.518954
1.0,183,757.887115
1.0,126,757.918062
1.0,144,759.120234
0.0,1001,759.622208
1.0,160,759.683211
1.0,390,759.915191
1.0,82,759.954612
1.0,13,760.385164
0.0,1001,760.478948
1.0,18,761.060804
1.0,22,761.087146
1.0,62,761.601992
1.0,168,761.68023
1.0,13,762.042609
1.0,72,762.068484
0.0,329,762.336825
1.0,58,762.634384
1.0,224,762.923408
1.0,36,763.08419
0.0,7,763.310055
0.0,19,763.543883
1.0,287,764.255399
1.0,33,764.390252
0.0,228,764.886951
0.0,61,765.540323
1.0,41,765.734832
1.0,180,766.649333
1.0,244,766.751522
1.0,78,766.814829
0.0,34,767.765937
1.0,195,767.766032
0.0,6,767.961345
1.0,41,768.091508
1.0,169,768.164803
1.0,24,768.564214
0.0,13,768.594799
0.0,18,768.696609
1.0,95,768.86286
1.0,498,768.926134
1.0,797,770.135392
1.0,69,770.234911
1.0,57,770.791881
1.0,181,770.823963
1.0,74,771.018875
1.0,172,771.179461
1.0,276,771.308661
1.0,81,771.503759
0.0,20,771.82879
1.0,20,771.955669
1.0,8,772.214854
1.0,140,773.135272
1.0,66,773.677017
1.0,35,774.297179
1.0,4,774.432632
1.0,384,774.534008
1.0,190,774.92201
0.0,18,775.022315
1.0,133,775.384267
1.0,641,775.610801
0.0,22,775.732353
1.0,31,776.731198
1.0,44,777.017828
1.0,193,777.115169
1.0,214,777.211875
1.0,320,777.274903
1.0,65,777.467237
0.0,186,777.891392
1.0,24,777.99354
1.0,43,778.687805
1.0,27,778.78863
1.0,608,779.188716
1.0,66,779.188785
1.0,90,779.842221
0.0,44,780.54725
1.0,72,781.571989
0.0,1001,781.736372
1.0,103,781.804312
1.0,134,781.936686
1.0,255,782.431134
1.0,33,782.662711
1.0,374,782.791141
1.0,39,783.095219
1.0,85,783.358196
1.0,54,783.715933
1.0,28,783.715992
1.0,65,783.874924
0.0,132,783.945046
0.0,19,784.572198
1.0,27,784.602819
1.0,367,784.665303
1.0,38,784.968038
1.0,90,785.627048
1.0,55,786.473334
0.0,200,786.659466
1.0,282,787.143676
0.0,32,787.707024
1.0,138,787.875644
1.0,111,788.599059
1.0,189,788.630916
1.0,11,788.985228
1.0,36,789.773377
1.0,120,790.387119
0.0,1001,790.58452
1.0,205,791.290387
1.0,77,791.489639
0.0,13,791.908092
1.0,523,792.039665
1.0,234,792.201298
1.0,58,792.463086
1.0,243,793.546999
1.0,51,793.711953
1.0,578,794.243934
0.0,32,794.597006
0.0,67,794.658786
1.0,78,794.756193
1.0,358,794.790965
